,wshedid,Qtot,area,latidx,lonidx,fcode,flatidx,flonidx,fq,flc,fws
121,3082.0,157582420.0,56250000,182,71,32.0,181,71,45013680.0,9.0,3082.0
122,3083.0,45257650.0,12500000,182,65,128.0,183,65,-315485000000000.0,24.0,3083.0
123,3084.0,45250304.0,12500000,182,66,128.0,183,66,-315485000000000.0,24.0,3084.0
124,3085.0,44970710.0,12500000,183,68,32.0,182,68,-315485000000000.0,24.0,3081.0
125,3086.0,44979310.0,12500000,183,69,128.0,184,69,-315485000000000.0,24.0,3086.0
126,3087.0,67451360.0,25000000,184,71,32.0,183,71,44995130.0,9.0,3082.0
127,3088.0,2388169900000.0,859150000000,186,73,16.0,185,72,-313100700000000.0,24.0,3088.0
128,3089.0,45160176.0,12500000,186,66,32.0,185,66,0.0,24.0,0.0
129,3090.0,0.0,12500000,186,68,32.0,185,68,0.0,24.0,0.0
130,3091.0,45025180.0,18750000,186,69,2.0,186,70,-315484980000000.0,24.0,3091.0
131,3092.0,45108870.0,12500000,187,71,32.0,186,71,44937390.0,9.0,3091.0
132,3093.0,45201170.0,12500000,188,71,32.0,187,71,45108870.0,9.0,3092.0
133,3094.0,67952230.0,18750000,189,71,32.0,188,71,45201170.0,9.0,3093.0
134,3095.0,45393016.0,12500000,190,71,32.0,189,71,67952230.0,6.0,3094.0
135,3096.0,45523670.0,12500000,191,71,32.0,190,71,45393016.0,12.0,3095.0
136,3097.0,45854896.0,18750000,193,71,16.0,192,70,-315484980000000.0,24.0,3097.0
137,3098.0,0.0,12500000,193,70,32.0,192,70,-315484980000000.0,24.0,3097.0
138,3099.0,835417900.0,243750000,194,71,32.0,193,71,45854896.0,12.0,3097.0
139,3100.0,46031984.0,12500000,195,71,32.0,194,71,835417900.0,12.0,3099.0
140,3101.0,69138856.0,31250000,196,72,32.0,195,72,69061900.0,12.0,3101.0
141,3102.0,46158350.0,12500000,197,72,32.0,196,72,69138856.0,9.0,3101.0
142,3103.0,45935550.0,18750000,197,73,64.0,198,72,22973128.0,12.0,3103.0
